count,class,category
6,u-container,Utility/Allowed
5,bi,Utility/Allowed
4,reveal,Utility/Allowed
3,section,Utility/Allowed
3,mobile-menu__link,BEM
3,mobile-menu__item,BEM
2,u-visually-hidden,Utility/Allowed
2,screen-reader-text,Block_like
2,header__icon,BEM
2,bi-arrow-left,Utility/Allowed
1,site-footer__logo,BEM
1,site-footer,Block_like
1,section--lined,BEM
1,products-portfolio__grid,BEM
1,products-portfolio,Block_like
1,products-chevron,Block_like
1,product-card__title,BEM
1,product-card__image,BEM
1,product-card__desc,BEM
1,product-card__content,BEM
1,product-card__btn,BEM
1,product-card,Block_like
1,models--hidden,BEM
1,models__list,BEM
1,models__item-title,BEM
1,models__item-media-shade,BEM
1,models__item-media-overlay,BEM
1,models__item-media--lazy,BEM
1,models__item-media,BEM
1,models__item-img,BEM
1,models__item-badges,BEM
1,models__item-badge,BEM
1,models__item,BEM
1,models,Block_like
1,mobile-menu__chev,BEM
1,mobile-menu,Block_like
1,mobile-drawer__products-panel,BEM
1,mobile-drawer__panel,BEM
1,mobile-drawer__logo,BEM
1,mobile-drawer__header,BEM
1,mobile-drawer__close,BEM
1,mobile-drawer__backdrop,BEM
1,mobile-drawer,Block_like
1,lazyload,Utility/Allowed
1,hero__video,BEM
1,hero__subtitle,BEM
1,hero__overlay,BEM
1,hero__cta,BEM
1,hero__content,BEM
1,hero,Block_like
1,header__logo,BEM
1,header__icon--menu,BEM
1,header__icon--cart,BEM
1,header__bar,BEM
1,header,Block_like
1,discover__title,BEM
1,discover__text,BEM
1,discover__image,BEM
1,discover__desc,BEM
1,discover__btn,BEM
1,discover__block,BEM
1,discover,Block_like
1,chev,Block_like
1,btn,Utility/Allowed
1,bi-x-lg,Utility/Allowed
1,bi-cart,Utility/Allowed
1,bi-arrow-right,Utility/Allowed
